Date,Amc_Name,Crop,Maximum,Minimum,Modal
02-01-2016,Mahbubnagar,Groundnut pods-Common,5270,3040,4050
02-01-2016,Wanaparthy Town,Groundnut pods-Common,6090,4010,4967
02-01-2016,Warangal,Groundnut pods-Common,5800,2000,2500
02-01-2016,Mahbubnagar,Maize-Common,1463,1463,1463
02-01-2016,Narsampet,Maize-Common,1411,1406,1406
02-01-2016,Siddipet,Maize-Common,1529,1496,1510
02-01-2016,Warangal,Maize-Common,1462,1425,1462
03-01-2016,Makthal,Groundnut pods-Common,3840,3120,3580
03-01-2016,Wanaparthy Town,Groundnut pods-Common,6098,4130,5010
04-01-2016,Mahbubnagar,Groundnut pods-Common,5490,2790,4556
04-01-2016,Makthal,Groundnut pods-Common,3520,3520,3520
04-01-2016,Narayanpet,Groundnut pods-Common,3600,3000,3300
04-01-2016,Suryapet,Groundnut pods-Common,5129,2789,4819
04-01-2016,Wanaparthy Town,Groundnut pods-Common,6020,4018,4930
04-01-2016,Warangal,Groundnut pods-Common,5600,2000,3000
04-01-2016,Jammikunta,Maize-Common,1480,1480,1480
04-01-2016,Siddipet,Maize-Common,1526,1494,1510
04-01-2016,Warangal,Maize-Common,1440,1400,1430
04-01-2016,Narayanpet,Bengal Gram-Common,4611,4611,4611
05-01-2016,Mahbubnagar,Groundnut pods-Common,5300,3060,4060
05-01-2016,Narayanpet,Groundnut pods-Common,3811,3050,3430
05-01-2016,Suryapet,Groundnut pods-Common,5131,3139,5131
05-01-2016,Warangal,Groundnut pods-Common,5900,2000,2500
05-01-2016,Jammikunta,Maize-Common,1490,1490,1490
05-01-2016,Siddipet,Maize-Common,1522,1502,1512
05-01-2016,Warangal,Maize-Common,1464,1415,1450
06-01-2016,Mahbubnagar,Groundnut pods-Common,5336,3666,4050
06-01-2016,Makthal,Groundnut pods-Common,3860,3860,3860
06-01-2016,Narayanpet,Groundnut pods-Common,4100,3120,3610
06-01-2016,Suryapet,Groundnut pods-Common,5269,2359,4669
06-01-2016,Wanaparthy Town,Groundnut pods-Common,6030,4007,4970
06-01-2016,Warangal,Groundnut pods-Common,6000,2500,4600
06-01-2016,Jammikunta,Maize-Common,1488,1468,1487
06-01-2016,Siddipet,Maize-Common,1525,1470,1498
06-01-2016,Suryapet,Maize-Common,1311,1311,1311
06-01-2016,Warangal,Maize-Common,1464,1440,1450
07-01-2016,Mahbubnagar,Groundnut pods-Common,5209,3070,4287
07-01-2016,Narayanpet,Groundnut pods-Common,4000,3119,3300
07-01-2016,Siddipet,Groundnut pods-Common,5040,5040,5040
07-01-2016,Suryapet,Groundnut pods-Common,5429,3159,4039
07-01-2016,Wanaparthy Town,Groundnut pods-Common,6062,4090,4980
07-01-2016,Warangal,Groundnut pods-Common,6025,2000,3700
07-01-2016,Mahbubnagar,Maize-Common,1312,1312,1312
07-01-2016,Siddipet,Maize-Common,1527,1482,1505
07-01-2016,Warangal,Maize-Common,1470,1440,1450
07-01-2016,Narayanpet,Bengal Gram-Common,4656,4656,4656
08-01-2016,Mahbubnagar,Groundnut pods-Common,5179,3000,4221
08-01-2016,Makthal,Groundnut pods-Common,4320,3320,3520
08-01-2016,Narayanpet,Groundnut pods-Common,4850,3100,3975
08-01-2016,Suryapet,Groundnut pods-Common,5516,3019,5429
08-01-2016,Wanaparthy Town,Groundnut pods-Common,5887,4090,4899
08-01-2016,Warangal,Groundnut pods-Common,6200,2500,3200
08-01-2016,Jammikunta,Maize-Common,1486,1450,1486
08-01-2016,Siddipet,Maize-Common,1527,1400,1464
08-01-2016,Warangal,Maize-Common,1506,1440,1460
08-01-2016,Narayanpet,Bengal Gram-Common,4606,4406,4506
09-01-2016,Makthal,Groundnut pods-Common,3770,2670,3010
09-01-2016,Narayanpet,Groundnut pods-Common,4510,3222,3850
09-01-2016,Suryapet,Groundnut pods-Common,5421,2019,5111
09-01-2016,Wanaparthy Town,Groundnut pods-Common,5790,4077,4890
09-01-2016,Warangal,Groundnut pods-Common,6300,3100,3500
09-01-2016,Siddipet,Maize-Common,1521,1500,1511
09-01-2016,Warangal,Maize-Common,1502,1420,1470
11-01-2016,Atmakur,Groundnut pods-Common,3667,3547,3547
11-01-2016,Mahbubnagar,Groundnut pods-Common,5270,3351,4089
11-01-2016,Makthal,Groundnut pods-Common,3890,3311,3511
11-01-2016,Narayanpet,Groundnut pods-Common,5020,3309,4000
11-01-2016,Siddipet,Groundnut pods-Common,5040,5040,5040
11-01-2016,Suryapet,Groundnut pods-Common,5605,2319,3259
11-01-2016,Wanaparthy Town,Groundnut pods-Common,5637,4008,4980
11-01-2016,Warangal,Groundnut pods-Common,5901,2800,4000
11-01-2016,Siddipet,Maize-Common,1524,1465,1495
11-01-2016,Suryapet,Maize-Common,1355,1355,1355
11-01-2016,Warangal,Maize-Common,1515,1450,1506
12-01-2016,Mahbubnagar,Groundnut pods-Common,5270,2309,4470
12-01-2016,Narayanpet,Groundnut pods-Common,4759,3109,4000
12-01-2016,Suryapet,Groundnut pods-Common,5029,2269,4039
12-01-2016,Warangal,Groundnut pods-Common,5500,3850,4500
12-01-2016,Mahbubnagar,Maize-Common,1359,1359,1359
12-01-2016,Siddipet,Maize-Common,1546,1470,1508
12-01-2016,Warangal,Maize-Common,1530,1460,1500
13-01-2016,Atmakur,Groundnut pods-Common,4040,2860,3260
13-01-2016,Mahbubnagar,Groundnut pods-Common,5290,2410,4242
13-01-2016,Makthal,Groundnut pods-Common,3730,2690,3416
13-01-2016,Narayanpet,Groundnut pods-Common,4690,3050,3500
13-01-2016,Suryapet,Groundnut pods-Common,4421,2861,4021
13-01-2016,Wanaparthy Town,Groundnut pods-Common,5516,4001,4920
13-01-2016,Warangal,Groundnut pods-Common,5450,3200,4500
13-01-2016,Narsampet,Maize-Common,1461,1461,1461
13-01-2016,Siddipet,Maize-Common,1540,1500,1520
13-01-2016,Warangal,Maize-Common,1518,1510,1518
13-01-2016,Narayanpet,Bengal Gram-Common,4629,4629,4629
16-01-2016,Wanaparthy Town,Groundnut pods-Common,5570,3630,4980
17-01-2016,Makthal,Groundnut pods-Common,4330,3160,3745
18-01-2016,Atmakur,Groundnut pods-Common,4410,3210,4370
18-01-2016,Mahbubnagar,Groundnut pods-Common,5246,3229,4490
18-01-2016,Makthal,Groundnut pods-Common,3820,3009,3302
18-01-2016,Narayanpet,Groundnut pods-Common,4879,3100,4000
18-01-2016,Siddipet,Groundnut pods-Common,4900,4900,4900
18-01-2016,Suryapet,Groundnut pods-Common,4579,2539,3821
18-01-2016,Wanaparthy Town,Groundnut pods-Common,5511,4080,4986
18-01-2016,Warangal,Groundnut pods-Common,5050,2500,4200
18-01-2016,Jammikunta,Maize-Common,1495,1495,1495
18-01-2016,Siddipet,Maize-Common,1526,1485,1506
18-01-2016,Warangal,Maize-Common,1503,1503,1503
19-01-2016,Mahbubnagar,Groundnut pods-Common,5289,3420,4470
19-01-2016,Narayanpet,Groundnut pods-Common,5056,3006,4000
19-01-2016,Suryapet,Groundnut pods-Common,4576,2556,4409
19-01-2016,Warangal,Groundnut pods-Common,5050,2500,4400
19-01-2016,Jammikunta,Maize-Common,1506,1506,1506
19-01-2016,Siddipet,Maize-Common,1524,1479,1502
19-01-2016,Warangal,Maize-Common,1515,1490,1500
20-01-2016,Atmakur,Groundnut pods-Common,4670,4170,4240
20-01-2016,Mahbubnagar,Groundnut pods-Common,5278,3470,4402
20-01-2016,Makthal,Groundnut pods-Common,4190,2817,3681
20-01-2016,Narayanpet,Groundnut pods-Common,4958,3071,4000
20-01-2016,Suryapet,Groundnut pods-Common,4639,2459,4215
20-01-2016,Wanaparthy Town,Groundnut pods-Common,5566,3466,4839
20-01-2016,Warangal,Groundnut pods-Common,5051,2500,4400
20-01-2016,Jammikunta,Maize-Common,1528,1509,1510
20-01-2016,Siddipet,Maize-Common,1530,1500,1515
20-01-2016,Warangal,Maize-Common,1514,1480,1514
20-01-2016,Narayanpet,Bengal Gram-Common,4729,4681,4700
21-01-2016,Atmakur,Groundnut pods-Common,5210,5210,5210
21-01-2016,Mahbubnagar,Groundnut pods-Common,5329,3490,4455
21-01-2016,Makthal,Groundnut pods-Common,3866,3416,3668
21-01-2016,Narayanpet,Groundnut pods-Common,5006,3169,4000
21-01-2016,Siddipet,Groundnut pods-Common,5001,5001,5001
21-01-2016,Suryapet,Groundnut pods-Common,4705,2959,4196
21-01-2016,Wanaparthy Town,Groundnut pods-Common,5520,3309,4939
21-01-2016,Warangal,Groundnut pods-Common,5000,2600,4550
21-01-2016,Jammikunta,Maize-Common,1516,1516,1516
21-01-2016,Siddipet,Maize-Common,1567,1480,1524
21-01-2016,Warangal,Maize-Common,1520,1490,1520
21-01-2016,Narayanpet,Bengal Gram-Common,4772,4408,4600
22-01-2016,Atmakur,Groundnut pods-Common,4752,3090,3890
22-01-2016,Mahbubnagar,Groundnut pods-Common,5250,3876,4569
22-01-2016,Makthal,Groundnut pods-Common,3812,2841,3230
22-01-2016,Narayanpet,Groundnut pods-Common,4939,3111,4000
22-01-2016,Suryapet,Groundnut pods-Common,4778,3149,4321
22-01-2016,Wanaparthy Town,Groundnut pods-Common,5496,3190,4949
22-01-2016,Warangal,Groundnut pods-Common,5050,2500,4800
22-01-2016,Jammikunta,Maize-Common,1515,1515,1515
22-01-2016,Mahbubnagar,Maize-Common,1312,1312,1312
22-01-2016,Siddipet,Maize-Common,1510,1480,1495
22-01-2016,Warangal,Maize-Common,1514,1500,1514
22-01-2016,Narayanpet,Bengal Gram-Common,4669,4650,4650
23-01-2016,Atmakur,Groundnut pods-Common,4420,3327,3517
23-01-2016,Mahbubnagar,Groundnut pods-Common,5273,3282,4990
23-01-2016,Makthal,Groundnut pods-Common,3430,2660,3216
23-01-2016,Narayanpet,Groundnut pods-Common,4916,3009,4000
23-01-2016,Suryapet,Groundnut pods-Common,4889,3295,4476
23-01-2016,Wanaparthy Town,Groundnut pods-Common,5646,3840,4970
23-01-2016,Warangal,Groundnut pods-Common,5001,2500,4600
23-01-2016,Siddipet,Maize-Common,1500,1460,1480
23-01-2016,Warangal,Maize-Common,1501,1400,1470
23-01-2016,Narayanpet,Bengal Gram-Common,4709,4621,4665
24-01-2016,Atmakur,Groundnut pods-Common,3910,2772,3260
24-01-2016,Makthal,Groundnut pods-Common,4320,2417,3467
24-01-2016,Wanaparthy Town,Groundnut pods-Common,5636,3762,4996
25-01-2016,Atmakur,Groundnut pods-Common,5011,2803,3770
25-01-2016,Makthal,Groundnut pods-Common,4056,2411,3234
25-01-2016,Narayanpet,Groundnut pods-Common,4906,3015,4000
25-01-2016,Siddipet,Groundnut pods-Common,5141,5041,5091
25-01-2016,Suryapet,Groundnut pods-Common,5105,2700,4669
25-01-2016,Wanaparthy Town,Groundnut pods-Common,5534,3689,4989
25-01-2016,Warangal,Groundnut pods-Common,5100,2500,4400
25-01-2016,Jammikunta,Maize-Common,1514,1509,1450
25-01-2016,Siddipet,Maize-Common,1523,1450,1487
25-01-2016,Suryapet,Maize-Common,889,889,889
25-01-2016,Warangal,Maize-Common,1498,1440,1470
25-01-2016,Narayanpet,Bengal Gram-Common,4752,4731,4739
27-01-2016,Atmakur,Groundnut pods-Common,4520,2890,3422
27-01-2016,Mahbubnagar,Groundnut pods-Common,5103,2489,3570
27-01-2016,Makthal,Groundnut pods-Common,3667,2616,3141
27-01-2016,Narayanpet,Groundnut pods-Common,4659,3009,4000
27-01-2016,Siddipet,Groundnut pods-Common,4950,4801,4876
27-01-2016,Suryapet,Groundnut pods-Common,5039,3016,4269
27-01-2016,Wanaparthy Town,Groundnut pods-Common,5375,3609,4809
27-01-2016,Warangal,Groundnut pods-Common,4950,2500,4500
27-01-2016,Jammikunta,Maize-Common,1509,1503,1508
27-01-2016,Narsampet,Maize-Common,1500,1325,1430
27-01-2016,Siddipet,Maize-Common,1518,1450,1484
27-01-2016,Warangal,Maize-Common,1491,1450,1470
27-01-2016,Narayanpet,Bengal Gram-Common,4733,4222,4723
28-01-2016,Atmakur,Groundnut pods-Common,4610,2870,3491
28-01-2016,Mahbubnagar,Groundnut pods-Common,5010,2724,3661
28-01-2016,Makthal,Groundnut pods-Common,3739,1810,2774
28-01-2016,Narayanpet,Groundnut pods-Common,4601,3009,3800
28-01-2016,Suryapet,Groundnut pods-Common,4711,2606,4559
28-01-2016,Wanaparthy Town,Groundnut pods-Common,5366,3689,4569
28-01-2016,Warangal,Groundnut pods-Common,4900,2500,4400
28-01-2016,Jammikunta,Maize-Common,1499,1470,1489
28-01-2016,Narsampet,Maize-Common,1490,1325,1435
28-01-2016,Warangal,Maize-Common,1480,1470,1480
28-01-2016,Narayanpet,Bengal Gram-Common,4668,4668,4668
29-01-2016,Atmakur,Groundnut pods-Common,4920,2632,4061
29-01-2016,Mahbubnagar,Groundnut pods-Common,4961,2890,3889
29-01-2016,Makthal,Groundnut pods-Common,3460,2769,3150
29-01-2016,Narayanpet,Groundnut pods-Common,4600,3010,3600
29-01-2016,Suryapet,Groundnut pods-Common,4839,3069,4539
29-01-2016,Wanaparthy Town,Groundnut pods-Common,5246,3609,4969
29-01-2016,Warangal,Groundnut pods-Common,4930,2000,4600
29-01-2016,Jammikunta,Maize-Common,1515,1420,1496
29-01-2016,Mahbubnagar,Maize-Common,1402,1402,1402
29-01-2016,Narsampet,Maize-Common,1496,1325,1440
29-01-2016,Siddipet,Maize-Common,1518,1200,1359
29-01-2016,Warangal,Maize-Common,1478,1400,1450
29-01-2016,Narayanpet,Bengal Gram-Common,4688,4232,4400
30-01-2016,Atmakur,Groundnut pods-Common,5020,3027,4390
30-01-2016,Mahbubnagar,Groundnut pods-Common,5000,2169,4229
30-01-2016,Makthal,Groundnut pods-Common,4070,2970,3240
30-01-2016,Narayanpet,Groundnut pods-Common,4816,3009,3900
